epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3700.75,0.57767,0.33321,0.85132,0.67947,0.43956,0.45617,0.3013,1.07899,0.741,1.10095,0.000269475,0.000269475,0.000269475
43,3791.94,0.5694,0.32669,0.84922,0.70241,0.44432,0.45526,0.2969,1.07467,0.74674,1.09528,0.000255731,0.000255731,0.000255731
44,3883.18,0.56484,0.32509,0.84556,0.54663,0.42704,0.44094,0.28866,1.07442,0.7612,1.09238,0.000241986,0.000241986,0.000241986
45,3974.17,0.55647,0.32066,0.84498,0.51057,0.44208,0.43256,0.28278,1.08052,0.74908,1.1012,0.000228242,0.000228242,0.000228242
46,4065.1,0.55297,0.31788,0.84369,0.54074,0.43417,0.43295,0.28277,1.07156,0.76287,1.09707,0.000214497,0.000214497,0.000214497
47,4150.74,0.54856,0.31761,0.84319,0.56524,0.38851,0.40558,0.2655,1.07238,0.75947,1.09728,0.000200753,0.000200753,0.000200753
48,4235.52,0.54074,0.31074,0.84091,0.55852,0.43247,0.44079,0.28711,1.0738,0.75142,1.10268,0.000187008,0.000187008,0.000187008
49,4320.38,0.53576,0.3087,0.83983,0.53462,0.42351,0.43546,0.28578,1.07528,0.74759,1.10438,0.000173264,0.000173264,0.000173264
50,4405.46,0.52457,0.30159,0.83854,0.53906,0.41162,0.43637,0.2852,1.07637,0.75213,1.10791,0.00015952,0.00015952,0.00015952
51,4501.2,0.51671,0.2876,0.82986,0.54633,0.41353,0.4276,0.27995,1.08869,0.76746,1.1053,0.000145775,0.000145775,0.000145775
52,4586.53,0.50155,0.28009,0.82525,0.53439,0.42766,0.4272,0.27838,1.08289,0.75982,1.10815,0.000132031,0.000132031,0.000132031
53,4671.53,0.49736,0.27785,0.82573,0.49799,0.43479,0.41827,0.27334,1.07886,0.76351,1.09951,0.000118286,0.000118286,0.000118286
54,4756.33,0.48552,0.27036,0.82223,0.63604,0.39214,0.39871,0.26105,1.0803,0.77008,1.11092,0.000104542,0.000104542,0.000104542
55,4841.23,0.47622,0.26814,0.81961,0.69045,0.3964,0.40379,0.26597,1.08421,0.7697,1.11336,9.0797e-05,9.0797e-05,9.0797e-05
56,4926.4,0.46866,0.26462,0.81798,0.6719,0.38876,0.40228,0.26599,1.07773,0.76061,1.10477,7.70525e-05,7.70525e-05,7.70525e-05
57,5011.59,0.46506,0.26056,0.81576,0.5788,0.38818,0.39832,0.26464,1.07616,0.76499,1.10619,6.3308e-05,6.3308e-05,6.3308e-05
58,5096.47,0.45641,0.25856,0.81737,0.5646,0.40641,0.42005,0.27605,1.07193,0.76558,1.1062,4.95635e-05,4.95635e-05,4.95635e-05
59,5181.29,0.45118,0.25472,0.81382,0.54311,0.38629,0.40673,0.26902,1.07477,0.77151,1.10863,3.5819e-05,3.5819e-05,3.5819e-05
60,5266.15,0.4457,0.25255,0.81238,0.54642,0.38981,0.4102,0.27059,1.07754,0.77212,1.11375,2.20745e-05,2.20745e-05,2.20745e-05
